"id";"codigo";"sucursal_id";"descripcion";"marca";"grupo_muscular";"categoria";"numero_equipo"
87;"01PLBPPASG33";1;"Banca Plana";"Paramount";"Sin grupo muscular";"Peso Libre";"33"
88;"01PLADFLSG34";1;"Arbol P/Discos";"Flex";"Sin grupo muscular";"Peso Libre";"34"
89;"01PLADFLSG35";1;"Arbol P/Discos";"Flex";"Sin grupo muscular";"Peso Libre";"35"
90;"01PLSUCBSG36";1;"Silla Utilitaria";"Cybex";"Sin grupo muscular";"Peso Libre";"36"
91;"01PLSUCBSG37";1;"Silla Utilitaria";"Cybex";"Sin grupo muscular";"Peso Libre";"37"
92;"01CABSKESG38";1;"Bicicleta P/Spinning";"keiser";"Sin grupo muscular";"Cardio";"38"
93;"01PLBAFLSG39";1;"Banca Abdominal ";"Flex";"Sin grupo muscular";"Peso Libre";"39"
94;"01PLVLEXPI45";1;"Vertical Leg Press";"Excel";"Pierna";"Peso Libre";"45"
95;"01PLSSEXPI47";1;"SISSY SQUAT";"Excel";"Pierna";"Peso Libre";"47"
96;"01SEMPFMMU01";1;"Multiestacion Polea Doble";"Free Motion";"Multiarticular";"Selectorizado";"01"
97;"01SEMULFMU02";1;"Multiestacion 8";"Life Fitnes";"Multiarticular";"Selectorizado";"02"
98;"01SEPPLFPE03";1;"Prensa De Pecho";"Life Fitnes";"Pecho";"Selectorizado";"03"
99;"01SEPMLFPE04";1;"Pecho Mariposa";"Life Fitnes";"Pecho";"Selectorizado";"04"
100;"01SEPMLFPE05";1;"Pecho Mariposa";"Life Fitnes";"Pecho";"Selectorizado";"05"
101;"01SEPPLFPE06";1;"Prensa Pecho";"Life Fitnes";"Pecho";"Selectorizado";"06"
102;"01SEEELFES07";1;"Extension Espalda Baja";"Life Fitnes";"Espalda";"Selectorizado";"07"
103;"01SERELFES08";1;"Remo Para Espalda";"Life Fitnes";"Espalda";"Selectorizado";"08"
104;"01SEPDLFES09";1;"Pull Down ";"Life Fitnes";"Espalda";"Selectorizado";"09"
105;"01SEPTLFBR10";1;"Press Triceps";"Life Fitnes";"Brazo";"Selectorizado";"10"
106;"01SEPTICBR11";1;"Predicador Para Biceps";"Icarian";"Brazo";"Selectorizado";"11"
107;"01SEBCLFBR12";1;"Bicep Curl";"Life Fitnes";"Brazo";"Selectorizado";"12"
108;"01SEHLLFBR13";1;"Hombro Lateral";"Life Fitnes";"Brazo";"Selectorizado";"13"
109;"01SEFALFBR14";1;"Fondo Asistido";"Life Fitnes";"Brazo";"Selectorizado";"14"
110;"01SEPHLFBR15";1;"Prensa Hombro";"Life Fitnes";"Brazo";"Selectorizado";"15"
111;"01SETELFBR16";1;"Triceps Extension";"Life Fitnes";"Brazo";"Selectorizado";"16"
112;"01SEPPLFPI17";1;"Prensa P/Pierna";"Life Fitnes";"Pierna";"Selectorizado";"17"
113;"01SEEPLFPI18";1;"Extension P/Pierna";"Life Fitnes";"Pierna";"Selectorizado";"18"
114;"01SEGCLFPI19";1;"Gluteo Cable Motion";"Life Fitnes";"Pierna";"Selectorizado";"19"
115;"01SEFSLFPI20";1;"Femoral Sentado";"Life Fitnes";"Pierna";"Selectorizado";"20"
116;"01SEFALFPI21";1;"Femoral Acostado";"Life Fitnes";"Pierna";"Selectorizado";"21"
117;"01SEPALFPI22";1;"Pantorrilla 45 Grados";"Life Fitnes";"Pierna";"Selectorizado";"22"
118;"01SEGLLTPI23";1;"Gluteo";"Leg Tech";"Pierna";"Selectorizado";"23"
119;"01SEABLFPI24";1;"Abductor";"Life Fitnes";"Pierna";"Selectorizado";"24"
120;"01SEABLFPI25";1;"Adductor";"Life Fitnes";"Pierna";"Selectorizado";"25"
121;"01SEPPLFPI26";1;"Pantorrilla Parado";"Life Fitnes";"Pierna";"Selectorizado";"26"
122;"01SEABICAB27";1;"Abdominal";"Icarian";"Abdomen";"Selectorizado";"27"
123;"01SEABLFAB28";1;"Abdominal";"Life Fitnes";"Abdomen";"Selectorizado";"28"
124;"01SEABLFAB29";1;"Abdominal";"Life Fitnes";"Abdomen";"Selectorizado";"29"
125;"01SEPFSTPE30";1;"Pec Fly";"Star Trac";"Pecho";"Selectorizado";"30"
126;"01SEGLLFPI31";1;"Gluteo";"Life Fitnes";"Pierna";"Selectorizado";"31"
127;"01SEGIEXPI41";1;"Glute Isolator ";"Excel";"Pierna";"Selectorizado";"41"
128;"01SEDAEXMU42";1;"DUAL ADJUSTABLE PULLEY ";"Excel";"Multiarticular";"Selectorizado";"42"
129;"01SELCEXPI43";1;"LEG CURL EXTENSION";"Excel";"Pierna";"Selectorizado";"43"
130;"01SELCEXPI44";1;"LEG CURL EXTENSION";"Excel";"Pierna";"Selectorizado";"44"
131;"01SEHTEXPI46";1;"HIP THRUST ";"Excel";"Pierna";"Selectorizado";"46"
132;"01PLDRJWSG48";1;"2 tier dumbell rack";"JW SPORT";"Sin grupo muscular";"Peso Libre";"48"
133;"01PLDRJWSG49";1;"2 tier dumbell rack";"JW SPORT";"Sin grupo muscular";"Peso Libre";"49"
134;"01PLPTJWSG50";1;"Plate Tree";"JW SPORT";"Sin grupo muscular";"Peso Libre";"50"
135;"01PLPTJWSG51";1;"Plate Tree";"JW SPORT";"Sin grupo muscular";"Peso Libre";"51"
136;"01PLHDJWPI52";1;"Hex Bar/
DEADLIFT ";"JW SPORT";"Pierna";"Peso Libre";"52"
